object_id,camera_id,evaluation_caption
WhiskeyBottle,PC5,one full translucent open cylindrical glass bottle with a snap finish and no closure
WhiskeyBottle,PC6,one full opaque open cylindrical plastic bottle with a snap finish and no closure
WhiskeyBottle,PC8,one full translucent open cylindrical plastic bottle with a snap finish and no closure
WineBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
WineBottle,PC4,one full translucent closed cylindrical glass bottle with a twist finish and screw closure
WineBottle,PC5,one full translucent closed cylindrical glass bottle with a twist finish and screw closure
WineBottle,PC6,one full translucent open cylindrical glass bottle with a twist finish and no closure
WineBottle,PC8,one full opaque closed cylindrical plastic bottle with a snap finish and no closure
BigJar,PC2,one empty transparent closed cylindrical plastic jar with a twist finish and screw closure
BigJar,PC4,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigJar,PC5,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigJar,PC6,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigJar,PC8,one empty transparent open cylindrical plastic jar with a twist finish and no closure
BodyLotionJar,PC2,one empty opaque open cylindrical plastic container with a snap finish and no closure
BodyLotionJar,PC4,one full opaque closed cylindrical plastic bottle with a snap finish and snap closure
BodyLotionJar,PC5,one empty opaque open cylindrical metal container with a snap finish and no closure
BodyLotionJar,PC6,one full opaque open cylindrical plastic container with a snap finish and no closure
BodyLotionJar,PC8,one full opaque open cylindrical plastic container with a snap finish and no closure
BourbonBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BourbonBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BourbonBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BourbonBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BourbonBottle,PC8,one full opaque closed cylindrical plastic bottle with a snap finish and no closure
DreamJar,PC2,one empty transparent closed cylindrical plastic jar with a twist finish and screw closure
DreamJar,PC4,one empty transparent closed cylindrical plastic jar with a snap finish and snap closure
DreamJar,PC5,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
DreamJar,PC6,one empty transparent closed cylindrical plastic jar with a snap finish and snap closure
DreamJar,PC8,one empty transparent closed cylindrical plastic container with a snap finish and snap closure
EmptyWaterJug,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyWaterJug,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyWaterJug,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
EmptyWaterJug,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyWaterJug,PC8,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
FrenchBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
FrenchBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
FrenchBottle,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
FrenchBottle,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
FrenchBottle,PC8,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC2,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC4,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC5,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC6,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC8,one empty translucent open cylindrical plastic bottle with a snap finish and no closure
GooeyJar,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
GooeyJar,PC4,one full transparent closed cylindrical glass bottle with a snap finish and snap closure
GooeyJar,PC5,one full translucent closed cylindrical plastic bottle with a twist finish and screw closure
GooeyJar,PC6,one full translucent closed cylindrical plastic bottle with a twist finish and screw closure
GooeyJar,PC8,one empty translucent open cylindrical plastic bottle with a snap finish and no closure
HeartJar,PC2,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
HeartJar,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
HeartJar,PC5,one full transparent closed cylindrical glass jar with a twist finish and screw closure
HeartJar,PC6,one full transparent closed cylindrical plastic bottle with a snap finish and flip - top closure
HeartJar,PC8,one full translucent closed cylindrical plastic bottle with a twist finish and flip - top closure
MasonJar,PC2,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
MasonJar,PC4,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
MasonJar,PC5,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
MasonJar,PC6,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
MasonJar,PC8,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
MedicineBottle 1,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle 1,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle 1,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle 1,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle 1,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicineBottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MedicinePlasticBottle,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
MedicinePlasticBottle,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
MedicinePlasticBottle,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
MedicinePlasticBottle,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
MedicinePlasticBottle,PC8,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
MilkBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MilkBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
MilkBottle,PC5,one full opaque open cylindrical plastic bottle with a snap finish and no closure
MilkBottle,PC6,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
MilkBottle,PC8,one empty translucent open cylindrical glass bottle with a snap finish and no closure
PeanutButterJar,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PeanutButterJar,PC4,one full opaque closed cylindrical plastic jar with a twist finish and screw closure
PeanutButterJar,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
PeanutButterJar,PC6,one full opaque closed cylindrical plastic jar with a twist finish and screw closure
PeanutButterJar,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PickleJar,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
PickleJar,PC4,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
PickleJar,PC5,one full transparent closed cylindrical glass bottle with a snap finish and snap closure
PickleJar,PC6,one full opaque closed cylindrical plastic bottle with a snap finish and snap closure
PickleJar,PC8,one full translucent open cylindrical plastic bottle with a snap finish and no closure
PillBottle 1,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle 1,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle 1,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle 1,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle 1,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PillBottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PlasticBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PlasticBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PlasticBottle,PC5,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
PlasticBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PlasticBottle,PC8,one empty opaque closed cylindrical plastic bottle with a twist finish and screw closure
PlasticEmptyBottle,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
PlasticEmptyBottle,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
PlasticEmptyBottle,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
PlasticEmptyBottle,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
PlasticEmptyBottle,PC8,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
ProteinJar,PC2,one full opaque closed cylindrical plastic jar with a twist finish and screw closure
ProteinJar,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
ProteinJar,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
ProteinJar,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
ProteinJar,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SoapBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SoapBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SoapBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SoapBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SoapBottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
TransparentWaterBottle,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
TransparentWaterBottle,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
TransparentWaterBottle,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
TransparentWaterBottle,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
TransparentWaterBottle,PC8,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
WaterBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
WaterBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
WaterBottle,PC5,one full opaque open cylindrical plastic bottle with a twist finish and no closure
WaterBottle,PC6,one full opaque open cylindrical plastic bottle with a twist finish and no closure
WaterBottle,PC8,one full opaque open cylindrical plastic bottle with a twist finish and no closure
WheyProteinJar,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
WheyProteinJar,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
WheyProteinJar,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
WheyProteinJar,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
WheyProteinJar,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
