,Inside,Color,State,Shape,Material,Object,Finish,Metal Clip,Rubber Ring,Handle,Closure
35,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
36,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
37,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
38,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
39,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Snap,False,False,False,Snap
40,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
41,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
42,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
43,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
44,Empty,Translucent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
45,Full,Translucent,Open,Oval,Glass,Container,Snap,False,False,False,No
46,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
47,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap
48,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No
49,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
50,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Complex,False,False,False,Crown
51,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
52,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
53,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
54,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
55,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
56,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
57,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
58,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
59,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
60,Empty,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
61,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
62,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
63,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
64,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap
65,Full,Transparent,Closed,Conical,Glass,Bottle,Twist,False,False,False,Screw
66,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No
67,Empty,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
68,Full,Transparent,Closed,Conical,Glass,Container,Snap,False,False,False,Snap
69,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
70,Full,Transparent,Closed,Oval,Glass,Bottle,Snap,False,False,False,Snap
71,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Snap,False,False,False,Snap
72,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
73,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
74,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No
75,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No
76,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No
77,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
78,Full,Transparent,Closed,Cylindrical,Glass,Container,Snap,False,False,False,Snap
79,Empty,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
80,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No
81,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
82,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap
83,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
84,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
85,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
86,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
87,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
88,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
89,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
90,Full,Transparent,Closed,Cylindrical,Glass,Container,Snap,False,False,False,Snap
91,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
92,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
93,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
94,Full,Transparent,Closed,Cylindrical,Glass,Container,Snap,False,False,False,Snap
95,Full,Transparent,Closed,Rectangular,Glass,Bottle,Twist,False,False,False,Screw
96,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
97,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
98,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
99,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
100,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
101,Full,Transparent,Closed,Conical,Glass,Container,Snap,False,False,False,Snap
102,Full,Transparent,Closed,Complex,Glass,Container,Snap,False,False,False,Snap
103,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
104,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
105,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
106,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
107,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
108,Full,Translucent,Open,Oval,Plastic,Container,Snap,False,False,False,No
109,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
110,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
111,Full,Opaque,Closed,Rectangular,Plastic,Bottle,Twist,False,False,False,Screw
112,Full,Opaque,Closed,Rectangular,Plastic,Bottle,Twist,False,False,False,Screw
113,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
114,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
115,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
116,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
117,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
118,Full,Transparent,Closed,Cylindrical,Glass,Container,Twist,False,False,False,Screw
119,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
120,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No
121,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
122,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
123,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
124,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
125,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
126,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
127,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
128,Full,Translucent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
129,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
130,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
131,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
132,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No
133,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No
134,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
135,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
136,Full,Transparent,Closed,Cylindrical,Glass,Container,Twist,False,False,False,Screw
137,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
138,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Snap,False,False,False,Snap
139,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
140,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
141,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
142,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No
143,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No
144,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No
145,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No
146,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
147,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
148,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
149,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
150,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap
151,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
152,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
153,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
154,Full,Translucent,Open,Rectangular,Plastic,Bottle,Complex,False,False,False,Flip-top
155,Full,Transparent,Closed,Rectangular,Glass,Jar,Snap,False,False,False,Snap
156,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
157,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
158,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
159,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No
160,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
161,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
162,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
163,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
164,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
165,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
166,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
167,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap
168,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger
169,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger
170,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger
171,Full,Transparent,Closed,Rectangular,Plastic,Jar,Twist,False,False,False,Screw
172,Full,Translucent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
173,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No
174,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No
175,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
176,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No
177,Full,Transparent,Open,Oval,Plastic,Container,Snap,False,False,False,No
178,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger
179,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
180,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
181,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
182,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
183,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
184,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
185,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No
186,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,No
187,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No
188,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No
189,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No
190,Empty,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
191,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
192,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
193,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
194,Empty,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
195,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap
196,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap
197,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Complex,False,False,False,Flip-top
198,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Complex,False,False,False,Flip-top
199,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
200,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Complex,False,False,False,Spray
201,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
202,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
203,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
204,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
205,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
206,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
207,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Complex,False,False,False,Push-pull
208,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Complex,False,False,False,Push-pull
209,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
210,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
211,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
212,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Complex,False,False,False,Trigger
213,Full,Transparent,Closed,Rectangular,Plastic,Jar,Twist,False,False,False,Screw
214,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap
215,Full,Translucent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Dropper
216,Full,Transparent,Closed,Rectangular,Glass,Jar,Twist,False,False,False,Screw
217,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
218,Full,Transparent,Closed,Rectangular,Plastic,Bottle,Complex,False,False,False,Trigger
219,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
220,Full,Transparent,Closed,Cylindrical,Plastic,Jar,Twist,False,False,False,Screw
221,Full,Opaque,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
222,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
223,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
224,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,True,Screw
225,Full,Transparent,Open,Conical,Plastic,Container,Snap,False,False,False,No
226,Full,Transparent,Closed,Conical,Plastic,Container,Snap,False,False,False,Snap
227,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
228,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
229,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
230,Empty,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
231,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
232,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
233,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
234,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
235,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
236,Full,Transparent,Closed,Rectangular,Plastic,Bottle,Twist,False,False,False,Screw
237,Full,Transparent,Closed,Rectangular,Plastic,Bottle,Twist,False,False,False,Screw
238,Full,Transparent,Closed,Rectangular,Plastic,Bottle,Twist,False,False,False,Screw
239,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
240,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
241,Full,Transparent,Closed,Rectangular,Plastic,Bottle,Complex,False,False,False,Spray
242,Full,Transparent,Closed,Rectangular,Plastic,Bottle,Complex,False,False,False,Spray
243,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
244,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
245,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
246,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
247,Full,Transparent,Closed,Cylindrical,Plastic,Jar,Complex,False,False,False,Flip-top
248,Full,Transparent,Closed,Cylindrical,Plastic,Jar,Complex,False,False,False,Flip-top
249,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
250,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
251,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
252,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
253,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Complex,False,False,False,Flip-top
254,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
255,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
256,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
257,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
258,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
259,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
260,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
261,Full,Transparent,Closed,Rectangular,Glass,Bottle,Twist,False,False,False,Screw
262,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
263,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,True,No
264,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,True,No
265,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Snap
266,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
267,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
268,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
269,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
270,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
271,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
272,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
273,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
274,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Complex,False,False,False,Push-pull
275,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
276,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
277,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
278,Full,Transparent,Closed,Rectangular,Glass,Jar,Twist,False,False,False,Screw
279,Empty,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
280,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
281,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
282,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
283,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
284,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
285,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No
286,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Flip-top
287,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
288,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger
289,Full,Translucent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Dropper
290,Full,Translucent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Dropper
291,Full,Translucent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
292,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
293,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
294,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
295,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
296,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
297,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No
298,Full,Transparent,Closed,Rectangular,Glass,Bottle,Twist,False,False,False,Screw
299,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
300,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
301,Full,Transparent,Closed,Oval,Glass,Bottle,Twist,False,False,False,Screw
302,Full,Transparent,Closed,Oval,Glass,Bottle,Twist,False,False,False,Screw
303,Full,Transparent,Closed,Rectangular,Glass,Bottle,Twist,False,False,False,Screw
304,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw
305,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
306,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
307,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
308,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
309,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
310,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
311,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw
312,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw
313,Full,Transparent,Closed,Cylindrical,Plastic,Container,Snap,False,False,False,Snap
314,Full,Translucent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No
315,Empty,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No
316,Full,Translucent,Open,Cylindrical,Plastic,Container,Snap,False,False,True,No
317,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No
318,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Flip-top
319,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Flip-top
320,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Spray
321,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Spray
322,Empty,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
323,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
324,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No
325,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No
326,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No
327,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No
328,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No
329,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No
330,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Snap,False,False,False,Snap
