Index,Inside,Color,State,Shape,Material,Object,Finish,Metal Clip,Rubber Ring,Handle,Closure,Affordance:Empty,Affordance:Fill,Affordance:Close,Affordance:Open,Affordance:Unscrew,Affordance:Lift,Affordance:Swing,Affordance:PullRubber,Affordance:RemoveClip,Affordance:GrabHandle,Affordance:FlipOff,Affordance:FlipLid,Affordance:Squeeze,Affordance:PressDown,Affordance:PullUp,Affordance:Corkscrew,Affordance:RemoveSeal
86,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,Full,Transparent,Closed,Cylindrical,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
91,Full,Opaque,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
92,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
93,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,Full,Transparent,Closed,Cylindrical,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
95,Full,Transparent,Closed,Rectangular,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
96,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
97,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
101,Full,Transparent,Closed,Conical,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
102,Full,Transparent,Closed,Complex,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
103,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
106,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
108,Full,Translucent,Open,Oval,Plastic,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
110,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
111,Full,Opaque,Closed,Rectangular,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
112,Full,Opaque,Closed,Rectangular,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
113,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
114,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
116,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
117,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
118,Full,Transparent,Closed,Cylindrical,Glass,Container,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
119,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,Full,Transparent,Open,Conical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
122,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
123,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
124,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
125,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
126,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
127,Full,Transparent,Open,Cylindrical,Glass,Jar,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,Full,Translucent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
129,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
134,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
136,Full,Transparent,Closed,Cylindrical,Glass,Container,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
137,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,True,No,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
138,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
139,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
140,Full,Transparent,Open,Oval,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
141,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
142,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
144,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
145,Full,Transparent,Open,Cylindrical,Plastic,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
146,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
149,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
150,Full,Transparent,Closed,Oval,Glass,Container,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
151,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
152,Full,Transparent,Closed,Cylindrical,Glass,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
153,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
154,Full,Translucent,Open,Rectangular,Plastic,Bottle,Complex,False,False,False,Flip-top,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,Full,Transparent,Closed,Rectangular,Glass,Jar,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
156,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
157,Full,Transparent,Closed,Cylindrical,Glass,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
158,Full,Transparent,Open,Cylindrical,Glass,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
159,Full,Transparent,Open,Cylindrical,Glass,Bottle,Twist,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
161,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
162,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
163,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
164,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
165,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
166,Full,Transparent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,Full,Transparent,Closed,Cylindrical,Glass,Jar,Snap,False,False,False,Snap,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
168,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
169,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
170,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
171,Full,Transparent,Closed,Rectangular,Plastic,Jar,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
172,Full,Translucent,Open,Cylindrical,Plastic,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
173,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
174,Full,Transparent,Open,Cylindrical,Glass,Bottle,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Screw,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
176,Full,Transparent,Open,Cylindrical,Glass,Jar,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
177,Full,Transparent,Open,Oval,Plastic,Container,Snap,False,False,False,No,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,Full,Transparent,Closed,Cylindrical,Plastic,Bottle,Twist,False,False,False,Trigger,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
